QUANTITYORDERED,SELLINGPRICE,SALES,ORDERDATE,STATUS,PRODUCTLINE,ACTUALPRICE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE
45,100.0,5833.8,4/7/2005 0:00,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,Paris,France,Medium
45,100.0,5887.35,5/13/2005 0:00,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,Madrid,Spain,Medium
27,100.0,6065.55,2/24/2003 0:00,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium
46,100.0,9264.86,4/29/2003 0:00,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large
31,100.0,7023.98,7/1/2003 0:00,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,Paris,France,Large
33,100.0,5176.38,8/25/2003 0:00,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,Pasadena,USA,Medium
22,100.0,4132.7,10/10/2003 0:00,Shipped,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,San Francisco,USA,Medium
20,100.0,4183.0,10/28/2003 0:00,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium
41,100.0,8892.9,11/11/2003 0:00,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,Lille,France,Large
45,100.0,8714.7,11/18/2003 0:00,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,Bergen,Norway,Large
49,100.0,8065.89,12/1/2003 0:00,Shipped,Motorcycles,193,S10_4698,Mini Wheels Co.,San Francisco,USA,Large
34,100.0,6123.4,1/12/2004 0:00,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Medium
49,100.0,9774.03,2/20/2004 0:00,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large
39,100.0,7023.9,4/5/2004 0:00,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,NYC,USA,Large
43,100.0,7078.23,5/18/2004 0:00,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,Newark,USA,Large
41,100.0,8336.94,6/28/2004 0:00,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,Bridgewater,USA,Large
36,100.0,6901.92,7/23/2004 0:00,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,Nantes,France,Medium
27,100.0,5438.07,8/27/2004 0:00,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,Cambridge,USA,Medium
29,100.0,6683.34,9/30/2004 0:00,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,Medium
20,100.0,4570.4,10/15/2004 0:00,Shipped,Motorcycles,193,S10_4698,Mini Classics,White Plains,USA,Medium
37,100.0,7667.14,11/2/2004 0:00,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,Allentown,USA,Large
26,100.0,5868.2,11/15/2004 0:00,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium
39,76.67,2990.13,11/23/2004 0:00,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
22,100.0,3664.1,1/5/2005 0:00,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium
22,100.0,3834.38,2/2/2005 0:00,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,Medium
21,86.77,1822.17,3/3/2005 0:00,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,New Bedford,USA,Small
66,100.0,11886.6,4/8/2005 0:00,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,Large
56,100.0,9218.16,5/13/2005 0:00,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,Madrid,Spain,Large
50,100.0,7208.0,2/11/2003 0:00,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,Large
46,100.0,5004.8,4/28/2003 0:00,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,Salzburg,Austria,Medium
33,100.0,4398.24,6/12/2003 0:00,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",London,UK,Medium
49,100.0,5597.76,8/10/2003 0:00,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,New Bedford,USA,Medium
32,100.0,4526.08,10/6/2003 0:00,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,Medium
44,100.0,5924.16,10/23/2003 0:00,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,Medium
24,100.0,3492.48,11/8/2003 0:00,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,Toulouse,France,Medium
26,100.0,3854.24,11/14/2003 0:00,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,Medium
45,100.0,5324.4,11/26/2003 0:00,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,Barcelona,Spain,Medium
39,100.0,5197.92,1/9/2004 0:00,Shipped,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,Medium
49,100.0,5997.6,2/19/2004 0:00,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,San Diego,USA,Medium
20,100.0,2910.4,5/7/2004 0:00,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,NYC,USA,Small
27,100.0,3378.24,6/17/2004 0:00,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,Montreal,Canada,Medium
30,100.0,3508.8,7/21/2004 0:00,Shipped,Classic Cars,136,S10_4757,Petit Auto,Bruxelles,Belgium,Medium
25,100.0,2992.0,8/20/2004 0:00,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Small
24,100.0,3427.2,9/10/2004 0:00,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Medium
22,100.0,2692.8,10/14/2004 0:00,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,Small
33,100.0,4128.96,11/1/2004 0:00,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,Cowes,UK,Medium
47,64.93,3051.71,11/5/2004 0:00,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,Stavern,Norway,Medium
25,48.05,1201.25,11/21/2004 0:00,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,NYC,USA,Small
26,75.47,1962.22,12/2/2004 0:00,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,Madrid,Spain,Small
48,54.68,2624.64,12/15/2004 0:00,Shipped,Classic Cars,136,S10_4757,Reims Collectables,Reims,France,Small
39,100.0,4046.25,1/31/2005 0:00,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium
34,100.0,4846.7,2/23/2005 0:00,Shipped,Classic Cars,136,S10_4757,Corporate Gift Ideas Co.,San Francisco,USA,Medium
32,100.0,3370.56,3/17/2005 0:00,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,Paris,France,Medium
64,100.0,9661.44,4/1/2005 0:00,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,Large
19,100.0,2764.88,5/6/2005 0:00,On Hold,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Small
42,100.0,5398.26,1/29/2003 0:00,Shipped,Classic Cars,147,S10_4962,Baane Mini Imports,Stavern,Norway,Medium
31,100.0,4305.28,4/1/2003 0:00,Shipped,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",Paris,France,Medium
22,100.0,3347.74,5/28/2003 0:00,Shipped,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium
26,100.0,3188.12,7/24/2003 0:00,Shipped,Classic Cars,147,S10_4962,Technics Stores Inc.,Burlingame,USA,Medium
20,100.0,3191.2,9/19/2003 0:00,Shipped,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
21,100.0,3536.82,10/21/2003 0:00,Resolved,Classic Cars,147,S10_4962,Mini Auto Werke,Graz,Austria,Medium
33,100.0,5362.83,11/6/2003 0:00,Shipped,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",London,UK,Medium
28,100.0,3433.36,11/13/2003 0:00,Shipped,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
26,100.0,4263.74,11/25/2003 0:00,Shipped,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",Lyon,France,Medium
31,100.0,4076.19,12/9/2003 0:00,Shipped,Classic Cars,147,S10_4962,Diecast Collectables,Boston,USA,Medium
48,100.0,7020.48,2/4/2004 0:00,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Large
50,100.0,6426.5,3/11/2004 0:00,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
28,100.0,4591.72,5/4/2004 0:00,Shipped,Classic Cars,147,S10_4962,Super Scale Inc.,New Haven,USA,Medium
26,100.0,4033.38,6/15/2004 0:00,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Medium
32,100.0,4302.08,7/19/2004 0:00,Shipped,Classic Cars,147,S10_4962,Souveniers And Things Co.,Chatswood,Australia,Medium
44,100.0,7020.64,8/19/2004 0:00,Shipped,Classic Cars,147,S10_4962,Diecast Classics Inc.,Allentown,USA,Large
30,100.0,3855.9,9/8/2004 0:00,Shipped,Classic Cars,147,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,Medium
38,100.0,6680.78,10/13/2004 0:00,Shipped,Classic Cars,147,S10_4962,Marta's Replicas Co.,Cambridge,USA,Medium
40,100.0,6678.0,10/22/2004 0:00,Shipped,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,Medium
46,61.99,2851.54,11/4/2004 0:00,Shipped,Classic Cars,147,S10_4962,Online Diecast Creations Co.,Nashua,USA,Small
26,100.0,3188.12,11/19/2004 0:00,On Hold,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,Medium
27,100.0,4428.0,11/29/2004 0:00,Shipped,Classic Cars,147,S10_4962,"Australian Collectors, Co.",Melbourne,Australia,Medium
43,100.0,5780.92,12/10/2004 0:00,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
35,65.63,2297.05,1/20/2005 0:00,Shipped,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small
37,100.0,6231.54,2/17/2005 0:00,Shipped,Classic Cars,147,S10_4962,Corporate Gift Ideas Co.,San Francisco,USA,Medium
37,46.9,1735.3,3/9/2005 0:00,Shipped,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small
27,100.0,4427.73,5/1/2005 0:00,Shipped,Classic Cars,147,S10_4962,Quebec Home Shopping Network,Montreal,Canada,Medium
38,100.0,5894.94,5/31/2005 0:00,In Process,Classic Cars,147,S10_4962,La Rochelle Gifts,Nantes,France,Medium
33,100.0,5265.15,3/3/2003 0:00,Shipped,Classic Cars,194,S12_1099,Cruz & Sons Co.,Makati City,Philippines,Medium
42,100.0,7599.9,5/8/2003 0:00,Shipped,Classic Cars,194,S12_1099,Marseille Mini Autos,Marseille,France,Large
42,100.0,8008.56,7/2/2003 0:00,Shipped,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
48,100.0,9245.76,9/5/2003 0:00,Shipped,Classic Cars,194,S12_1099,Collectables For Less Inc.,Brickhaven,USA,Large
41,100.0,8296.35,10/10/2003 0:00,Shipped,Classic Cars,194,S12_1099,Corporate Gift Ideas Co.,San Francisco,USA,Large
30,100.0,5019.9,11/4/2003 0:00,Shipped,Classic Cars,194,S12_1099,"Anna's Decorations, Ltd",North Sydney,Australia,Medium
27,100.0,5411.07,11/12/2003 0:00,Shipped,Classic Cars,194,S12_1099,Herkku Gifts,Bergen,Norway,Medium
21,100.0,3840.9,11/20/2003 0:00,Shipped,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,Medium
20,100.0,3930.4,12/2/2003 0:00,Shipped,Classic Cars,194,S12_1099,Euro Shopping Channel,Madrid,Spain,Medium
41,100.0,7498.9,1/15/2004 0:00,Shipped,Classic Cars,194,S12_1099,Auto Canal Petit,Paris,France,Large
27,100.0,4517.91,2/22/2004 0:00,Shipped,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,Medium
28,100.0,5774.72,4/9/2004 0:00,Shipped,Classic Cars,194,S12_1099,Danish Wholesale Imports,Kobenhavn,Denmark,Medium
24,100.0,3922.56,6/1/2004 0:00,Cancelled,Classic Cars,194,S12_1099,"UK Collectables, Ltd.",Liverpool,UK,Medium
44,100.0,9160.36,7/6/2004 0:00,Shipped,Classic Cars,194,S12_1099,L'ordine Souveniers,Reggio Emilia,Italy,Large
50,100.0,9631.0,8/2/2004 0:00,Shipped,Classic Cars,194,S12_1099,Online Mini Collectables,Brickhaven,USA,Large
21,100.0,3432.24,8/30/2004 0:00,Shipped,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,Medium
33,100.0,5521.89,10/4/2003 0:00,Shipped,Classic Cars,194,S12_1099,"Blauer See Auto, Co.",Frankfurt,Germany,Medium
33,100.0,6934.62,10/16/2004 0:00,Shipped,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,Medium
31,100.0,6876.11,11/3/2004 0:00,Shipped,Classic Cars,194,S12_1099,"Volvo Model Replicas, Co",Lule,Sweden,Medium
41,71.47,2930.27,11/15/2004 0:00,Shipped,Classic Cars,194,S12_1099,Land of Toys Inc.,NYC,USA,Small
45,79.65,3584.25,11/24/2004 0:00,Shipped,Classic Cars,194,S12_1099,Salzburg Collectables,Salzburg,Austria,Medium
33,85.39,2817.87,1/6/2005 0:00,Shipped,Classic Cars,194,S12_1099,Suominen Souveniers,Espoo,Finland,Small
45,76.0,3420.0,2/3/2005 0:00,Shipped,Classic Cars,194,S12_1099,La Rochelle Gifts,Nantes,France,Medium
26,99.04,2575.04,3/3/2005 0:00,Shipped,Classic Cars,194,S12_1099,Scandinavian Gift Ideas,Boras,Sweden,Small
12,100.0,1961.28,5/17/2005 0:00,Shipped,Classic Cars,194,S12_1099,Salzburg Collectables,Salzburg,Austria,Small
41,100.0,8690.36,2/11/2003 0:00,Shipped,Classic Cars,207,S12_1108,Danish Wholesale Imports,Kobenhavn,Denmark,Large
33,100.0,6034.38,4/16/2003 0:00,Shipped,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
46,100.0,11279.2,6/3/2003 0:00,Shipped,Classic Cars,207,S12_1108,Muscle Machine Inc,NYC,USA,Large
33,100.0,8023.29,8/8/2003 0:00,Shipped,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
20,100.0,4904.0,9/28/2003 0:00,Shipped,Classic Cars,207,S12_1108,Euro Shopping Channel,Madrid,Spain,Medium
44,100.0,8594.52,10/22/2003 0:00,Shipped,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large
33,100.0,7474.5,11/6/2003 0:00,Shipped,Classic Cars,207,S12_1108,L'ordine Souveniers,Reggio Emilia,Italy,Large
21,100.0,3883.74,11/14/2003 0:00,Shipped,Classic Cars,207,S12_1108,Mini Creations Ltd.,New Bedford,USA,Medium
47,100.0,8887.7,11/26/2003 0:00,Shipped,Classic Cars,207,S12_1108,Super Scale Inc.,New Haven,USA,Large
46,100.0,8602.92,1/2/2004 0:00,Shipped,Classic Cars,207,S12_1108,"Saveley & Henriot, Co.",Lyon,France,Large
32,100.0,7181.44,2/12/2004 0:00,Shipped,Classic Cars,207,S12_1108,"Clover Collections, Co.",Dublin,Ireland,Large
42,100.0,8378.58,3/19/2004 0:00,Shipped,Classic Cars,207,S12_1108,CAF Imports,Madrid,Spain,Large
44,100.0,10606.2,5/5/2004 0:00,Shipped,Classic Cars,207,S12_1108,Suominen Souveniers,Espoo,Finland,Large
35,100.0,5818.4,7/20/2004 0:00,Shipped,Classic Cars,207,S12_1108,Diecast Classics Inc.,Allentown,USA,Medium
41,100.0,7071.27,8/20/2004 0:00,Shipped,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
46,100.0,8411.56,9/9/2004 0:00,Shipped,Classic Cars,207,S12_1108,Amica Models & Co.,Torino,Italy,Large
31,100.0,6570.76,10/14/2004 0:00,Shipped,Classic Cars,207,S12_1108,"AV Stores, Co.",Manchester,UK,Medium
38,100.0,7975.44,10/22/2004 0:00,Shipped,Classic Cars,207,S12_1108,Heintze Collectables,Aaarhus,Denmark,Large
42,64.0,2688.0,11/5/2004 0:00,Shipped,Classic Cars,207,S12_1108,Baane Mini Imports,Stavern,Norway,Small
33,57.22,1888.26,11/20/2004 0:00,Shipped,Classic Cars,207,S12_1108,"La Corne D'abondance, Co.",Paris,France,Small
