Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Mind the Corners,3.0,7.0,0.99,"(0.0,)",Zentropy Software,4+,"('EN',)",1530880.0,"('Games', 'Strategy', 'Entertainment', 'Board')",2008-09-19,2016-10-26
All You Can Eat,2.0,30.0,0.99,"(0.0,)",Armin Heinrich,9+,"('EN',)",4341760.0,"('Entertainment', 'Games', 'Casual', 'Strategy')",2008-09-24,2019-03-16
Ane Rouge,0.0,0.0,0.0,"(0.0,)",Jean-Francois Pautex,4+,"('EN', 'FR')",1190912.0,"('Games', 'Puzzle', 'Education', 'Strategy')",2008-09-27,2017-08-03
Neiscat,0.0,0.0,0.99,"(0.0,)",Frederic Bronner,4+,"('EN', 'FR')",8806400.0,"('Games', 'Board', 'Entertainment', 'Strategy')",2008-09-29,2018-12-23
Boomshine,4.0,637.0,0.99,"(0.0,)",TwoDesk Software Company,4+,"('EN',)",22873088.0,"('Games', 'Puzzle', 'Entertainment', 'Strategy')",2008-07-10,2017-05-20
Gaia Lite,3.5,1563.0,0.0,"(0.0,)",Quicksand Interactive,4+,"('EN',)",6550985.0,"('Games', 'Strategy', 'Puzzle')",2008-02-10,2008-02-10
Fieldrunners,4.0,41869.0,2.99,"(0.99, 0.99, 0.99, 0.99)","Subatomic Studios, LLC",9+,"('EN',)",75041792.0,"('Games', 'Entertainment', 'Action', 'Strategy')",2008-05-10,2018-11-04
Lux Touch 3 - World Domination,3.5,72428.0,0.0,"(0.0,)",Sillysoft Games,9+,"('EN',)",55071744.0,"('Games', 'Entertainment', 'Strategy', 'Board')",2008-07-10,2019-01-23
"""Don't Square""",2.5,190.0,0.99,"(0.0,)",Solid Apps GmbH,4+,"('EN', 'FR', 'DE', 'EL', 'PT', 'RU', 'ZH', 'ES')",4357120.0,"('Games', 'Board', 'Entertainment', 'Strategy')",2008-12-10,2019-05-22
Smart Rummy,2.5,69.0,2.99,"(0.0,)",Pramod Shankar,4+,"('EN',)",44329984.0,"('Games', 'Strategy', 'Card', 'Entertainment')",2008-04-11,2016-05-12
Expert Sudoku,4.0,523.0,2.99,"(0.0,)",Mighty Mighty Good Games,4+,"('DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'ZH')",9543680.0,"('Games', 'Strategy', 'Entertainment', 'Puzzle')",2008-10-21,2017-05-30
Edgewise,3.5,23.0,0.0,"(1.99, 0.99)",Greggy Bits Software,4+,"('EN',)",1298432.0,"('Games', 'Card', 'Strategy')",2008-10-25,2015-06-26
Chess Genius,4.0,156.0,5.99,"(0.0,)",Lang Software Limited,4+,"('EN', 'FR', 'DE', 'IT', 'ES')",1751040.0,"('Games', 'Strategy', 'Board', 'Entertainment')",2008-08-11,2016-05-08
Chess - tChess Pro,4.0,3062.0,7.99,"(0.0,)",Tom Kerrigan,4+,"('EN', 'FR', 'DE', 'JA', 'KO', 'ZH')",7517184.0,"('Games', 'Board', 'Entertainment', 'Strategy')",2008-05-11,2019-07-04
Toobz,3.5,2425.0,0.99,"(0.0,)",Jason Haslup,4+,"('EN',)",9641984.0,"('Games', 'Strategy', 'Puzzle')",2008-05-11,2014-09-13
Color Sudoku,3.5,518.0,2.99,"(0.0,)",Mighty Mighty Good Games,4+,"('DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'ZH')",15837184.0,"('Games', 'Puzzle', 'Entertainment', 'Strategy')",2008-11-14,2017-05-30
Chess - tChess Lite,3.5,5488.0,0.99,"(0.0,)",Tom Kerrigan,4+,"('EN', 'FR', 'DE', 'JA', 'KO', 'ZH')",5874688.0,"('Games', 'Strategy', 'Entertainment', 'Board')",2008-11-15,2019-07-04
Checkers Online Lite,2.5,3521.0,0.0,"(0.0,)",EUROCENTER,4+,"('EN',)",9402423.0,"('Games', 'Strategy', 'Board')",2008-11-29,2008-11-29
TapDefense,3.5,273687.0,0.0,"(0.99, 2.99, 1.99)",TapJoy,9+,"('EN',)",7774384.0,"('Games', 'Strategy', 'Entertainment', 'Simulation')",2008-11-24,2012-05-12
Chinese Chess (Xiangqi),3.0,67.0,0.99,"(0.0,)",Easy 8 Software,4+,"('EN',)",12423168.0,"('Games', 'Strategy', 'Board')",2008-11-24,2014-12-30
Warfare Incorporated,3.5,5931.0,0.0,"(0.0,)","Spiffcode, Inc.",9+,"('EN',)",7705600.0,"('Games', 'Strategy', 'Entertainment', 'Action')",2008-04-12,2019-06-20
Strategery,4.0,2798.0,1.99,"(0.0,)",Affogato LLC,4+,"('EN',)",15547392.0,"('Games', 'Board', 'Strategy', 'Entertainment')",2008-09-12,2017-06-17
5x5 Shogi (MiniShogi) K55,4.0,16.0,2.99,"(0.0,)",Yoshikazu Kakinoki,4+,"('EN', 'JA')",3940352.0,"('Games', 'Board', 'Strategy')",2008-11-12,2015-09-25
Deep Green Chess,4.0,483.0,7.99,"(0.0,)",Cocoa Stuff,4+,"('EN',)",99019776.0,"('Games', 'Board', 'Strategy')",2008-09-12,2016-01-28
Jewel Lines,3.0,75.0,2.99,"(0.0,)","Software River Solutions, Inc",4+,"('EN',)",5731328.0,"('Games', 'Entertainment', 'Puzzle', 'Strategy')",2008-12-13,2017-08-29
Lux DLX 3 - Map Conquest Game,4.0,5629.0,4.99,"(0.0,)",Sillysoft Games,9+,"('DA', 'NL', 'EN', 'FR', 'DE', 'IT', 'NO', 'NB', 'PT', 'ES', 'SV')",93993984.0,"('Games', 'Strategy', 'Board', 'Entertainment')",2008-12-19,2019-03-26
ChartFight SP,3.0,2482.0,0.99,"(0.0,)",Mutant Piano Software,4+,"('NL', 'EN')",14894080.0,"('Games', 'Strategy', 'Board')",2008-12-17,2017-10-16
Robo Logic,3.5,77.0,0.99,"(0.0,)",digitalsirup GmbH,4+,"('EN', 'FR', 'DE', 'JA')",5044648.0,"('Games', 'Puzzle', 'Education', 'Strategy')",2008-12-15,2009-11-09
RoboLogic Lite,3.0,1461.0,0.0,"(0.0,)",digitalsirup GmbH,4+,"('EN', 'DE')",2584622.0,"('Games', 'Strategy', 'Puzzle')",2009-03-01,2009-08-28
Kakinoki Shogi (Japanese Chess),4.0,75.0,4.99,"(0.0,)",Yoshikazu Kakinoki,4+,"('EN', 'JA')",18432000.0,"('Games', 'Strategy', 'Board')",2009-01-19,2015-09-24
Kings Corners Free,2.5,1741.0,0.0,"(0.0,)","Ilium Software, Inc.",4+,"('EN',)",2323719.0,"('Games', 'Entertainment', 'Card', 'Strategy')",2009-01-22,2011-08-22
Flip Ninja,2.5,6.0,0.0,"(0.0,)",Audacity Software Pte. Ltd.,4+,"('EN',)",1112393.0,"('Games', 'Strategy', 'Puzzle')",2009-01-16,2009-01-16
Gun Runner Wars,3.0,740.0,0.99,"(0.0,)",CUBIC digital,9+,"('EN',)",15541248.0,"('Games', 'Finance', 'Strategy', 'Simulation')",2009-04-02,2016-09-07
Word Zapper,3.0,89.0,0.99,"(0.0,)",NTP,4+,"('EN',)",16785408.0,"('Games', 'Strategy', 'Word', 'Entertainment')",2009-01-22,2018-07-10
Antivirus,3.0,187.0,0.0,"(1.99,)",DeadRatGames,9+,"('EN',)",25563136.0,"('Games', 'Entertainment', 'Simulation', 'Strategy')",2009-03-02,2015-09-07
Arcs,4.0,413.0,2.99,"(0.0,)",Pomegranate Apps LLC,4+,"('EN',)",5106688.0,"('Games', 'Puzzle', 'Entertainment', 'Strategy')",2009-01-21,2018-10-05
Shogi Kifu,0.0,0.0,3.99,"(0.0,)",Yoshikazu Kakinoki,4+,"('EN', 'JA')",29797376.0,"('Games', 'Strategy', 'Board')",2011-07-14,2018-10-13
Shogi Kifu,0.0,0.0,3.99,"(0.0,)",Yoshikazu Kakinoki,4+,"('EN', 'JA')",29797376.0,"('Games', 'Strategy', 'Board')",2011-07-14,2018-10-13
Strategery Lite,3.5,9121.0,0.0,"(0.0,)",Affogato LLC,4+,"('EN',)",5421981.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-05-02,2010-06-30
Wedding Dash Deluxe,4.5,17056.0,0.99,"(0.0, 0.99, 5.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99)",Glu Games Inc,4+,"('EN',)",55803904.0,"('Games', 'Strategy', 'Action', 'Entertainment')",2009-01-28,2014-02-07
Agency Wars Lite,2.5,17045.0,0.0,"(0.0,)",MindJolt,4+,"('EN',)",7543757.0,"('Games', 'Entertainment', 'Strategy', 'Role Playing')",2009-03-14,2009-06-05
Touch Physics Lite,3.5,42210.0,0.0,"(0.0,)",Gamez 4 Touch,4+,"('EN',)",16556848.0,"('Games', 'Puzzle', 'Strategy', 'Entertainment')",2009-01-02,2011-12-01
FIREWALL: Defender FREE,2.5,1156.0,0.0,"(0.0,)",Solus Games,4+,"('EN',)",6122222.0,"('Games', 'Strategy', 'Entertainment', 'Puzzle')",2009-01-28,2009-01-28
PocketSports Football Lite,2.5,20234.0,0.0,"(0.0,)",Solus Games,12+,"('EN',)",4528173.0,"('Games', 'Sports', 'Entertainment', 'Strategy')",2009-12-02,2009-02-19
BallSnare,3.5,7.0,0.99,"(0.0,)",John Gregorek,4+,"('EN',)",3824640.0,"('Games', 'Entertainment', 'Casual', 'Strategy')",2009-06-02,2016-09-09
Wordology,3.5,125.0,2.99,"(0.0,)",Cerebral Gardens,4+,"('EN',)",98282496.0,"('Games', 'Entertainment', 'Word', 'Strategy')",2009-02-28,2017-07-12
Omar Sharif Bridge,2.5,359.0,5.99,"(0.0,)",ZingMagic Limited,4+,"('EN',)",33982464.0,"('Games', 'Card', 'Entertainment', 'Strategy')",2009-02-17,2018-11-12
PahJong Hurricane,3.0,6.0,0.99,"(0.0,)",John Gregorek,4+,"('EN',)",3134464.0,"('Games', 'Entertainment', 'Casual', 'Strategy')",2009-02-16,2016-09-09
Wedding Dash,4.0,101209.0,0.0,"(2.99, 2.99, 5.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.99, 0.99)",Glu Games Inc,4+,"('EN',)",58343424.0,"('Games', 'Strategy', 'Action', 'Entertainment')",2009-02-18,2014-02-07
PahJong Tsunami,0.0,0.0,0.99,"(0.0,)",John Gregorek,4+,"('EN',)",2974720.0,"('Games', 'Entertainment', 'Strategy', 'Casual')",2009-02-18,2016-09-09
Slay,3.0,4885.0,3.99,"(9.99, 9.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99)","""Sean O'Connor""",9+,"('EN',)",59016192.0,"('Games', 'Board', 'Strategy')",2009-02-27,2019-05-30
Paintball II,2.0,84.0,2.99,"(0.0,)",CrazySoft Limited,4+,"('EN',)",6466560.0,"('Games', 'Puzzle', 'Entertainment', 'Strategy')",2009-02-25,2018-10-10
Psarakia (Ice Fishing),3.5,13.0,2.99,"(0.0,)",CrazySoft Limited,4+,"('EN',)",4922368.0,"('Games', 'Entertainment', 'Puzzle', 'Strategy')",2009-02-25,2018-10-10
Shogi Demon,3.5,27.0,2.99,"(0.0,)",NUTRACTOR,17+,"('EN', 'JA')",20957184.0,"('Games', 'Strategy', 'Board')",2009-02-24,2018-07-13
Tiki Towers LITE,3.5,29495.0,0.0,"(0.0,)",GameHouse,9+,"('EN', 'FR', 'DE', 'IT', 'ES')",39453539.0,"('Games', 'Entertainment', 'Strategy', 'Puzzle')",2009-02-25,2011-01-29
Gun Runner +,2.5,5462.0,0.0,"(0.99, 0.99, 0.99)",CUBIC digital,9+,"('EN',)",14125056.0,"('Games', 'Entertainment', 'Adventure', 'Strategy')",2009-02-25,2017-09-28
Polycubes,3.5,19.0,0.0,"(0.0,)",Voxeloid Kft.,4+,"('EN',)",4472832.0,"('Games', 'Strategy', 'Entertainment', 'Puzzle')",2009-07-03,2014-02-07
Port Defender\xae - 2D Field Defense,3.5,860.0,0.0,"(0.99, 1.99, 0.99, 0.99)",Michael Fuller,9+,"('EN',)",84364288.0,"('Games', 'Strategy', 'Action', 'Entertainment')",2009-03-27,2016-03-23
"""Sally's Spa""",4.5,35199.0,2.99,"(0.0,)",Games Cafe Inc.,4+,"('EN', 'FR', 'DE', 'IT', 'ES')",500501504.0,"('Games', 'Strategy', 'Entertainment', 'Action')",2009-08-04,2017-11-09
Port Defender\xae Lite - 2D Field Defense,3.0,5013.0,0.0,"(0.0,)",Michael Fuller,9+,"('EN',)",54787072.0,"('Games', 'Strategy', 'Action', 'Entertainment')",2009-03-27,2016-03-23
"""Tap 'n' Pop Classic: Balloon Group Remove""",3.5,1119.0,2.99,"(0.0,)","Software River Solutions, Inc",4+,"('EN',)",8881152.0,"('Games', 'Entertainment', 'Strategy', 'Puzzle')",2009-03-27,2017-08-16
Conquest (+ all maps),3.5,2606.0,4.99,"(0.0,)","""Sean O'Connor""",9+,"('EN',)",107105280.0,"('Games', 'Board', 'Strategy')",2009-03-27,2017-12-15
Shredder Chess,4.5,863.0,3.99,"(0.0,)","Eiko Bleicher, Skizzix.com",4+,"('EN', 'DE')",33033216.0,"('Games', 'Board', 'Education', 'Strategy')",2009-03-27,2016-10-16
Wordology Lite,3.0,1926.0,0.0,"(0.0,)",Cerebral Gardens,4+,"('EN',)",108253184.0,"('Games', 'Strategy', 'Entertainment', 'Word')",2009-03-27,2017-07-12
"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848.0,0.0,"(0.0,)",Savy Soda,4+,"('ZH', 'EN')",1326164.0,"('Games', 'Strategy', 'Board')",2009-03-27,2010-12-21
"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3.0,24821.0,0.0,"(0.0,)","Software River Solutions, Inc",4+,"('EN',)",14717952.0,"('Games', 'Entertainment', 'Puzzle', 'Strategy')",2009-03-28,2017-08-17
Tournament Reversi Free,3.5,2503.0,0.0,"(0.0,)",Futrell Software,4+,"('EN',)",2582857.0,"('Games', 'Board', 'Strategy', 'Entertainment')",2009-03-27,2010-07-18
Bloons,4.0,16693.0,0.99,"(0.0,)",Ninja Kiwi,4+,"('EN',)",5500291.0,"('Games', 'Strategy', 'Puzzle')",2009-04-14,2012-07-02
Chess \u2219,3.5,191081.0,0.0,"(0.0,)",Optime Software LLC,4+,"('EN',)",65303552.0,"('Games', 'Strategy', 'Entertainment', 'Board')",2009-04-18,2018-06-27
Chess Premium,4.0,2767.0,1.99,"(0.0,)",Optime Software LLC,4+,"('EN',)",30746624.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-04-23,2017-09-28
UniWar: Multiplayer Strategy,3.5,14073.0,0.0,"(9.99, 2.99, 4.99, 19.99, 5.49, 23.49, 49.99, 36.99, 13.99, 99.99)",SH Limited,9+,"('AR', 'ZH', 'CS', 'EN', 'FR', 'DE', 'IT', 'JA', 'PL', 'PT', 'RU', 'ES', 'TR')",115074048.0,"('Games', 'Entertainment', 'Strategy', 'Role Playing')",2009-04-14,2019-07-24
Pocket Tanks Deluxe,4.5,5543.0,4.99,"(0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99)","Blitwise Productions, LLC",9+,"('EN',)",39997440.0,"('Games', 'Family', 'Strategy', 'Entertainment')",2009-04-15,2016-08-31
Castle Smasher,3.0,12659.0,0.99,"(0.0,)",Donut Games,4+,"('EN',)",10308608.0,"('Games', 'Strategy', 'Action')",2009-04-14,2017-05-07
Pocket Tanks,4.0,90386.0,0.0,"(4.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99)","Blitwise Productions, LLC",9+,"('EN',)",43073536.0,"('Games', 'Strategy', 'Family', 'Entertainment')",2009-04-15,2016-08-31
Inverti,3.0,40.0,0.0,"(0.0,)",Frank LaRosa,4+,"('EN',)",2004992.0,"('Games', 'Board', 'Strategy')",2009-04-21,2017-05-10
Crystal Mine,2.0,353.0,0.0,"(0.0,)",Modular Dreams Inc,4+,"('EN',)",2818386.0,"('Games', 'Casual', 'Strategy')",2009-03-05,2009-03-05
Nerve,2.5,47.0,0.0,"(0.0,)",Mahboud Zabetian,4+,"('EN',)",6994639.0,"('Games', 'Strategy')",2009-04-28,2009-03-07
Pebbles,3.0,866.0,0.0,"(0.0,)",Objective Development,4+,"('EN', 'DE')",10136576.0,"('Games', 'Strategy', 'Board', 'Entertainment')",2009-04-28,2016-01-20
AirTycoon - Airline Management,3.5,3416.0,0.0,"(0.0,)",TRADEGAME Lab Inc.,4+,"('EN',)",8646161.0,"('Games', 'Strategy', 'Role Playing', 'Entertainment')",2009-04-29,2012-11-13
Jungle Crash Land,3.5,67670.0,0.99,"(0.0,)",Donut Games,4+,"('EN',)",7703552.0,"('Games', 'Strategy', 'Action')",2009-01-05,2017-06-21
PortOfCallL,2.5,634.0,0.0,"(0.99, 0.99)",Dipl.-Ing. Rolf-Dieter Klein,4+,"('DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'IT', 'NO', 'PT', 'ES', 'SV')",3396500.0,"('Games', 'Strategy', 'Simulation')",2009-01-05,2011-07-05
"""Swap 'n Drop""",3.0,282.0,2.99,"(0.0,)",CH4 Productions,4+,"('EN',)",4225024.0,"('Games', 'Puzzle', 'Strategy')",2009-03-05,2017-11-17
Boxed In,3.5,93235.0,0.99,"(0.99, 0.99, 0.99, 1.99, 0.99, 2.99, 4.99, 0.99, 0.99, 0.99)",Dennis Mengelt,4+,"('EN',)",259371008.0,"('Games', 'Strategy', 'Entertainment', 'Puzzle')",2009-06-05,2017-04-12
SmartGo Player,4.0,569.0,2.99,"(0.0,)","Smart Go, Inc.",4+,"('EN', 'FR', 'DE', 'JA', 'KO', 'RU', 'ZH', 'ES', 'ZH')",23805952.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-06-05,2018-04-05
Big 2 Classic,3.5,127.0,2.99,"(0.0,)",38 Softworks Inc.,4+,"('EN', 'ZH', 'ZH')",3684352.0,"('Games', 'Strategy', 'Card', 'Entertainment')",2009-07-05,2017-10-14
"""Sally's Spa Lite""",4.0,193923.0,0.0,"(0.0,)",Games Cafe Inc.,4+,"('EN', 'FR', 'DE', 'IT', 'ES')",233482240.0,"('Games', 'Action', 'Entertainment', 'Strategy')",2009-05-28,2017-11-09
TowerMadness,4.0,42389.0,2.99,"(1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99)",Limbic Software,9+,"('EN', 'DE')",56048640.0,"('Games', 'Strategy', 'Puzzle')",2009-05-24,2018-05-03
Chinese Chess Master,3.5,207.0,3.99,"(0.0,)",PPCLINK Software,4+,"('EN',)",23740416.0,"('Games', 'Entertainment', 'Strategy', 'Board')",2009-05-23,2015-10-19
Block Off,3.0,16554.0,0.0,"(0.99,)",Elements of Design LLC,4+,"('EN',)",6338617.0,"('Games', 'Puzzle', 'Strategy', 'Entertainment')",2009-05-25,2012-03-19
UAV Fighter Free,3.0,6906.0,0.0,"(0.0,)","Entertaining Games, Inc.",12+,"('EN',)",12120793.0,"('Games', 'Strategy', 'Simulation', 'Entertainment')",2009-05-06,2012-02-08
WORP - Next Gen Solitaire Puzzle,3.0,9.0,1.99,"(0.0,)",Maximilian Auer,4+,"('EN', 'DE')",20501504.0,"('Games', 'Board', 'Entertainment', 'Strategy')",2009-07-06,2016-10-24
Bubble Buster,3.5,2110.0,0.0,"(1.99, 9.99, 0.99, 9.99, 2.99, 0.99, 19.99, 0.99, 0.99, 9.99)",North Sky Games,4+,"('EN',)",76698624.0,"('Games', 'Board', 'Strategy', 'Entertainment')",2009-11-07,2016-07-13
Age of Conquest: Europe,3.5,267.0,3.99,"(0.0,)",Noble Master LLC,12+,"('EN',)",39074816.0,"('Entertainment', 'Games', 'Board', 'Strategy')",2009-06-16,2018-12-10
Backgammon!,2.0,704.0,0.0,"(0.0,)",osnine,4+,"('EN',)",413902.0,"('Games', 'Entertainment', 'Strategy', 'Board')",2009-11-06,2009-11-06
Crush the Castle,3.5,23854.0,0.99,"(0.0,)",Armor Games Inc,12+,"('EN',)",44707840.0,"('Games', 'Adventure', 'Strategy')",2009-09-18,2017-07-31
PopGroup,3.0,847.0,0.99,"(0.0,)",Tom Kerrigan,4+,"('EN',)",995328.0,"('Games', 'Board', 'Strategy', 'Entertainment')",2009-06-18,2017-03-07
PopGroup Lite,3.0,233.0,0.0,"(0.0,)",Tom Kerrigan,4+,"('EN',)",761856.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-09-16,2017-03-07
TapSquares,3.0,5.0,0.99,"(0.0,)",Bubble Pop Software,4+,"('EN',)",2137088.0,"('Games', 'Strategy', 'Entertainment', 'Puzzle')",2009-10-06,2019-07-03
Chess,4.5,14864.0,0.0,"(1.99, 7.99, 29.99, 19.99)",Vintolo Ltd,4+,"('EN',)",47129600.0,"('Games', 'Strategy', 'Board', 'Entertainment')",2009-06-13,2019-06-21
TOTL,2.5,43.0,0.0,"(0.0,)",Robert Urschel,4+,"('EN',)",41591808.0,"('Games', 'Entertainment', 'Strategy', 'Puzzle')",2009-06-14,2018-06-21
Tic-Tac-Toe Arena,1.5,8.0,1.99,"(0.0,)",RookSoft Ltd.,4+,"('EN',)",82583552.0,"('Games', 'Entertainment', 'Strategy', 'Board')",2009-06-24,2016-09-13
4_IN_1_ROW_Lite,2.5,3593.0,0.0,"(0.0,)","AOBO Co.,Ltd",4+,"('EN', 'JA', 'ZH')",7750656.0,"('Games', 'Board', 'Strategy', 'Entertainment')",2009-06-28,2018-03-02
Tournament Checkers Free,3.0,344.0,0.0,"(0.0,)",Futrell Software,4+,"('EN',)",4578541.0,"('Games', 'Entertainment', 'Strategy', 'Board')",2009-02-07,2009-02-07
Checkers,4.5,36581.0,0.0,"(0.0,)",Vintolo Ltd,4+,"('EN',)",69393408.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-04-07,2019-06-14
Checkers,4.5,36581.0,0.0,"(0.0,)",Vintolo Ltd,4+,"('EN',)",69393408.0,"('Games', 'Entertainment', 'Board', 'Strategy')",2009-04-07,2019-06-14
Pipe Mania,3.0,302.0,0.0,"(0.0,)",Virtual Programming Ltd,4+,"('EN',)",85569536.0,"('Games', 'Strategy', 'Puzzle')",2009-08-07,2014-09-04
WORMS,4.0,5778.0,1.99,"(0.99, 0.99)",Team17 Software Ltd,12+,"('EN',)",253834240.0,"('Games', 'Action', 'Entertainment', 'Strategy')",2009-12-07,2016-09-12
Pixel Starships\u2122,4.5,27739.0,0.0,"(4.99, 9.99, 3.99, 4.99, 3.99, 9.99, 19.99, 49.99, 99.99)",Savy Soda,9+,"('AR', 'CS', 'NL', 'EN', 'FR', 'DE', 'ID', 'IT', 'JA', 'KO', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'TH', 'ZH', 'TR', 'VI')",104436736.0,"('Games', 'Entertainment', 'Strategy', 'Role Playing')",2016-06-01,2019-07-22
PUSHY,4.0,163.0,1.99,"(0.99,)",medienwerkstatt,4+,"('EN', 'FR', 'DE')",83070976.0,"('Games', 'Puzzle', 'Strategy', 'Education')",2009-11-07,2019-08-04
Traffic Rush,3.5,212763.0,0.99,"(0.0,)",Donut Games,9+,"('EN',)",9466880.0,"('Games', 'Strategy', 'Action')",2009-12-07,2018-08-11
