id,merchant_id,customer_id,coupon_id,bill_amount,ts
200,60,1293,144,4100,2018-08-18 02:45:22
201,81,698,240,4200,2017-10-12 08:46:57
202,131,109,264,2900,2017-11-22 03:56:31
203,45,999,240,2100,2017-08-20 22:08:47
204,64,386,293,400,2017-11-25 09:40:33
205,24,213,98,300,2019-03-10 20:13:39
206,104,272,299,2400,2018-05-08 20:58:11
207,93,1228,24,4100,2018-09-13 21:09:19
208,140,286,264,4600,2018-05-04 06:26:46
209,107,1319,396,4300,2018-01-11 08:28:23
210,166,613,270,1900,2018-04-27 06:14:26
211,54,787,384,3900,2018-08-13 23:18:23
212,84,59,85,3800,2018-09-08 10:25:58
213,162,1216,83,3600,2018-05-18 22:26:17
214,23,1123,84,1000,2018-03-11 14:05:06
215,24,75,379,4900,2018-10-01 15:58:45
216,17,166,106,2000,2017-07-29 01:16:43
217,45,956,383,3100,2017-04-03 09:53:44
218,54,735,95,1900,2018-02-20 15:40:33
219,113,1462,400,500,2019-03-28 05:26:15
220,116,744,19,2600,2018-12-08 05:00:45
221,117,1454,331,3500,2018-06-05 08:44:54
222,3,211,327,3500,2018-04-01 03:57:38
223,91,863,380,2800,2018-08-22 17:10:49
224,168,535,391,3600,2018-01-31 07:58:59
225,49,747,218,3800,2017-07-02 15:09:33
226,190,563,335,1300,2017-07-16 01:25:16
227,59,887,109,4600,2018-12-30 00:53:23
228,184,1392,160,4900,2018-04-14 21:39:26
229,58,804,30,1400,2017-11-21 16:13:34
230,170,942,50,4900,2019-01-07 13:21:22
231,141,626,191,2000,2018-09-02 03:05:30
232,34,1314,101,200,2017-04-08 07:46:15
233,109,1344,331,2700,2017-07-18 10:19:50
234,179,26,199,3500,2017-09-27 03:40:07
235,151,346,309,4000,2019-01-10 03:16:29
236,172,369,282,5000,2017-06-13 12:40:44
237,170,1318,157,1800,2018-10-20 20:48:05
238,50,1082,182,4800,2018-06-09 12:36:30
239,165,447,253,4100,2017-04-16 02:13:00
240,149,1489,207,400,2018-10-24 07:09:25
241,199,435,89,4200,2017-11-24 17:05:19
242,178,16,261,4300,2018-12-22 01:28:40
243,93,689,398,4500,2018-06-27 06:12:06
244,152,9,49,2300,2019-02-14 06:56:25
245,105,432,368,2700,2017-09-16 11:18:00
246,148,730,115,1500,2017-06-24 21:13:41
247,17,27,269,2600,2018-07-07 03:16:15
248,14,1234,273,1000,2017-07-19 16:27:37
249,48,1227,391,4100,2018-03-25 23:24:52
250,118,1189,69,700,2017-11-21 03:25:14
251,200,113,195,1200,2018-09-10 11:17:13
252,46,1329,228,2300,2018-03-29 06:48:53
253,66,683,48,3700,2018-10-14 12:55:49
254,50,1384,118,2500,2018-12-22 15:33:44
255,184,925,38,2600,2018-05-04 23:50:32
256,122,1102,358,4000,2019-03-01 05:15:01
257,84,475,38,4700,2018-05-16 08:04:20
258,195,837,197,800,2018-05-20 21:16:20
259,155,1136,324,500,2018-08-07 18:39:21
260,164,1191,369,300,2017-10-08 19:40:55
261,69,1151,199,4000,2019-02-19 12:51:34
262,116,1238,220,3100,2017-12-11 16:42:52
263,154,642,250,2400,2018-05-09 07:35:31
264,181,1128,34,800,2018-06-20 20:17:58
265,21,41,112,4700,2019-02-15 04:27:55
266,154,102,302,500,2018-07-24 11:01:47
267,174,916,278,3100,2017-04-26 00:02:59
268,86,660,58,3000,2018-07-17 07:23:20
269,194,508,387,2000,2019-02-21 14:58:56
270,155,767,253,400,2019-01-12 11:22:15
271,128,839,194,2800,2019-02-22 18:47:19
272,175,766,34,2900,2019-01-30 01:57:21
273,46,554,140,300,2018-07-20 04:30:03
274,54,866,19,3900,2018-03-28 14:24:31
275,89,1076,284,1200,2017-11-27 15:39:03
276,122,1198,318,1300,2019-02-22 11:25:09
277,31,296,44,1900,2017-08-13 07:37:16
278,113,508,335,3700,2017-10-27 20:36:02
279,170,778,286,3600,2019-02-26 08:44:54
280,26,782,152,1900,2017-06-14 22:51:13
281,75,305,153,4000,2018-07-13 17:50:13
282,144,1103,58,1600,2018-01-15 08:59:56
283,188,1246,255,100,2018-03-09 14:59:18
284,80,967,269,3000,2019-01-21 21:58:32
285,191,1257,191,4300,2018-09-05 04:51:30
286,22,679,39,3400,2018-12-10 17:08:40
287,174,577,193,3800,2018-06-05 03:54:40
288,107,658,48,3400,2018-09-16 19:42:11
289,153,733,167,2700,2017-04-03 14:56:55
290,113,874,9,4000,2017-06-04 01:00:38
291,18,458,137,2100,2018-08-10 12:13:33
292,100,493,383,2100,2018-03-27 02:03:52
293,72,1145,359,3800,2019-01-11 17:57:23
294,165,398,206,4200,2018-04-23 22:07:02
295,149,1423,160,900,2019-01-02 23:07:22
296,95,458,139,2100,2017-05-16 04:03:20
297,29,139,141,4400,2017-08-05 17:58:07
298,124,1024,199,2500,2017-04-24 18:51:29
299,129,233,263,1000,2017-11-06 03:16:02
300,37,95,270,1800,2019-02-04 10:45:10
301,75,1313,226,600,2018-12-28 10:23:35
302,167,1427,25,2300,2018-12-27 22:42:38
303,51,1122,118,1400,2017-11-29 23:34:16
304,33,721,15,100,2017-05-10 04:15:06
305,31,1122,388,4600,2018-01-02 07:45:22
306,61,180,95,700,2017-08-03 15:45:13
307,168,30,271,700,2018-01-07 07:54:41
308,158,731,77,1800,2018-05-27 01:38:42
309,34,535,306,2700,2017-06-18 06:42:25
310,64,1,17,2600,2017-11-13 15:23:47
311,109,825,64,4800,2018-08-08 11:38:20
312,39,252,326,2800,2017-05-08 19:17:40
313,159,1326,381,3200,2019-03-26 01:26:50
314,55,884,78,3700,2017-11-16 03:13:45
315,127,1030,310,1100,2018-11-18 16:24:58
316,72,1350,189,1800,2017-08-13 02:15:44
317,163,512,20,2400,2018-07-01 14:19:03
318,153,207,382,500,2019-02-20 21:40:23
319,91,124,33,1100,2017-08-01 10:06:11
320,185,450,399,1700,2018-07-07 03:59:09
321,97,987,76,700,2018-06-25 07:13:51
322,98,306,316,4000,2017-10-11 09:30:45
323,127,751,332,4300,2017-04-09 07:51:04
324,126,161,175,1300,2018-03-15 14:04:39
325,1,1260,190,1900,2018-10-13 13:48:07
326,172,1496,88,3200,2019-03-01 07:56:28
327,42,400,373,3500,2018-06-02 11:53:48
328,11,423,163,1700,2018-08-01 09:15:29
329,38,316,148,2100,2018-08-10 03:55:19
330,92,1495,31,2400,2017-07-06 04:53:31
331,29,1411,365,2000,2018-02-23 08:05:35
332,124,174,399,600,2018-01-31 16:14:31
333,163,70,102,800,2019-01-04 17:59:12
334,77,60,160,900,2017-04-13 10:23:18
335,191,14,212,4400,2018-01-24 03:41:12
336,90,572,79,1200,2018-01-31 08:56:28
337,180,1430,390,1200,2017-11-09 04:22:41
338,130,579,135,1500,2018-06-23 19:34:16
339,167,690,172,3200,2017-11-16 18:18:49
340,161,479,262,1600,2017-08-30 20:54:46
341,16,1314,347,1900,2018-02-11 21:48:26
342,188,1298,373,700,2018-04-10 06:21:32
343,15,1042,77,5000,2017-12-17 06:49:31
344,41,922,212,4500,2018-04-14 11:04:04
345,182,548,384,300,2017-05-25 21:19:56
346,73,589,17,300,2017-11-19 02:10:20
347,95,1190,199,1500,2019-02-02 18:33:12
348,69,1319,165,700,2018-01-10 08:33:55
349,62,804,108,2400,2018-05-28 02:07:48
350,99,908,289,3700,2017-04-21 09:19:55
351,175,419,331,2700,2017-09-05 14:41:30
352,141,1190,363,2300,2018-11-10 22:01:28
353,54,320,319,2000,2018-09-22 11:43:00
354,41,1221,46,800,2018-07-26 21:48:12
355,194,797,18,1500,2017-11-23 06:07:23
356,61,698,371,4600,2019-01-24 07:18:44
357,161,767,160,2100,2018-08-25 06:14:14
358,152,408,74,4800,2017-04-03 03:10:06
359,33,671,296,4100,2018-03-06 11:07:43
360,123,1250,119,3700,2017-12-05 10:28:41
361,167,53,286,2600,2017-09-01 02:57:55
362,5,943,368,2600,2018-02-26 17:55:36
363,22,1347,7,1700,2018-06-23 01:30:59
364,61,1386,124,500,2018-12-10 10:19:55
365,151,102,390,100,2017-08-17 18:12:55
366,76,307,245,4600,2017-07-18 06:02:30
367,25,50,99,900,2018-07-23 16:40:15
368,132,1172,334,1000,2018-02-24 00:42:29
369,162,700,31,1900,2017-09-07 19:15:24
370,99,578,31,4500,2017-07-20 06:24:28
371,12,1273,8,3200,2018-05-05 23:15:05
372,184,619,289,4000,2019-02-12 20:45:41
373,110,1378,229,4300,2018-02-19 09:50:36
374,99,426,80,4500,2019-02-16 01:40:39
375,39,1097,165,1700,2018-08-02 15:50:45
376,134,1378,221,2100,2018-09-06 02:06:27
377,101,1436,101,1600,2018-10-05 13:10:18
378,142,56,224,3900,2017-05-31 17:27:49
379,33,307,385,4700,2017-07-23 14:58:49
380,174,1372,273,600,2018-04-17 21:41:09
381,76,1436,209,3700,2019-01-12 02:43:02
382,95,1079,185,4200,2017-08-01 05:02:55
383,114,525,258,4800,2018-02-07 07:27:35
384,171,25,200,2500,2017-07-26 16:38:11
385,104,643,376,1900,2018-09-01 02:37:44
386,26,271,227,2400,2017-09-13 01:14:32
387,124,431,298,900,2017-11-09 01:27:11
388,199,1212,140,3600,2018-07-07 14:55:15
389,195,235,322,2100,2018-06-22 18:02:26
390,154,78,164,3200,2018-03-14 11:11:10
391,146,1107,179,1500,2017-10-10 13:45:42
392,71,181,147,4200,2017-07-25 00:35:02
393,23,739,285,3500,2017-11-23 14:03:45
394,171,72,13,2000,2019-02-06 21:32:10
395,42,1184,319,1100,2018-05-21 22:09:03
396,122,1115,257,3400,2017-07-07 17:39:10
397,10,773,261,400,2018-02-22 12:47:02
398,7,1116,33,3800,2017-12-22 02:26:04
399,7,366,51,2500,2017-08-01 23:49:13
400,125,189,395,4600,2017-11-19 02:29:00
401,125,48,146,2800,2018-11-14 07:56:52
402,144,80,345,200,2017-07-06 20:16:29
403,172,806,190,4700,2018-02-03 20:54:10
404,2,616,304,2800,2018-10-01 03:54:10
405,100,1021,210,5000,2018-02-15 13:12:49
406,162,1071,342,3200,2017-04-28 12:30:43
407,99,1179,27,3100,2017-12-19 06:51:53
408,111,221,382,2600,2017-08-29 12:24:53
409,68,900,121,2500,2018-05-09 07:37:23
410,165,1077,365,1000,2018-07-14 05:59:27
411,124,260,77,200,2019-01-26 02:29:52
412,196,788,273,1800,2017-12-10 20:25:44
413,106,1379,245,1400,2018-07-16 18:09:34
414,37,459,143,2700,2018-04-04 12:06:46
415,198,1318,75,2300,2018-04-06 01:39:12
416,125,774,380,4300,2017-05-15 08:39:21
417,103,764,47,3200,2018-02-21 10:07:37
418,140,603,304,2100,2018-02-07 04:29:24
419,189,518,215,1300,2017-07-24 00:21:39
420,189,717,255,3400,2017-11-13 09:04:43
421,163,635,308,4800,2019-02-15 23:14:32
422,43,932,302,300,2018-06-29 02:37:34
423,151,371,60,4500,2017-06-08 12:33:10
424,102,665,37,3400,2017-04-19 03:51:28
425,57,558,42,1800,2017-06-20 05:44:42
426,83,258,53,2500,2018-11-07 10:57:06
427,5,305,111,3200,2018-07-15 15:28:00
428,83,454,324,2300,2017-04-19 10:54:17
429,166,1343,312,1700,2017-11-12 11:28:55
430,75,885,213,4000,2018-12-05 00:55:36
431,15,490,389,3700,2018-03-04 08:41:14
432,56,224,7,3000,2019-01-25 03:37:03
433,90,862,145,2200,2018-02-15 17:34:08
434,35,585,282,700,2017-12-13 17:21:37
435,20,5,247,2500,2018-02-04 21:12:23
436,9,993,85,2800,2018-08-14 05:32:07
437,44,1061,219,2200,2018-08-18 10:08:57
438,48,1202,195,4300,2018-12-15 02:29:08
439,132,1170,395,2700,2018-01-22 08:52:06
440,90,416,36,1800,2018-11-27 12:40:10
441,141,1055,203,1100,2018-05-12 16:24:52
442,56,904,132,4900,2017-07-07 18:46:36
443,85,998,166,700,2019-03-05 07:27:52
444,140,1397,395,3000,2018-03-10 01:02:42
445,81,82,56,2200,2017-11-17 18:24:18
446,37,293,21,2900,2017-11-08 23:52:48
447,147,1088,277,1300,2017-08-31 17:40:30
448,54,1486,47,1300,2018-01-09 03:59:46
449,139,1333,160,1800,2019-01-13 20:06:49
450,55,716,340,2300,2018-12-27 08:56:42
451,34,908,187,2300,2017-08-13 13:26:41
452,38,354,263,3600,2018-06-05 04:19:21
453,138,992,7,3100,2017-12-30 16:19:35
454,7,672,97,1500,2017-10-30 08:54:20
455,81,186,122,4700,2019-02-15 01:55:31
456,97,45,112,1900,2018-08-08 00:29:18
457,104,1360,208,700,2018-09-26 09:14:24
458,68,1332,305,3300,2017-11-08 14:51:05
459,62,374,18,2200,2017-05-17 23:23:31
460,4,1327,397,2500,2017-04-12 17:18:18
461,95,605,381,3700,2019-02-08 11:49:30
462,83,878,245,3600,2017-04-30 10:19:16
463,7,1139,150,3100,2018-11-09 18:50:28
464,23,1373,252,3300,2017-08-29 20:59:11
465,59,294,51,3900,2018-06-17 10:16:05
466,186,77,257,600,2018-03-08 03:30:17
467,89,1002,116,2600,2018-03-14 05:43:20
468,79,617,297,2200,2018-11-03 02:20:59
469,66,1378,289,800,2018-09-06 05:09:47
470,196,1318,28,200,2019-01-12 20:57:27
471,117,1038,276,3000,2017-09-07 20:54:32
472,188,870,342,4400,2018-04-18 08:49:42
473,108,413,116,3000,2017-07-25 13:42:44
474,18,1036,304,3900,2018-08-18 14:33:10
475,140,872,166,500,2017-07-24 10:20:33
476,136,1485,267,2900,2018-07-15 10:32:29
477,180,1231,124,5000,2018-03-16 16:08:06
478,114,469,260,2100,2018-11-17 13:21:11
479,155,799,208,4600,2018-10-17 09:56:12
480,22,1381,349,3400,2017-05-28 06:02:54
481,93,1242,210,700,2017-12-25 13:12:27
482,12,1169,287,2300,2019-03-27 05:23:56
483,175,37,247,1200,2017-10-04 21:15:16
484,68,154,100,400,2017-06-06 20:19:26
485,40,999,373,3700,2017-10-20 13:04:58
486,22,573,115,2000,2018-09-15 11:43:49
487,196,857,37,1300,2018-07-15 00:02:39
488,21,834,316,2100,2018-03-06 08:12:16
489,94,1022,55,4700,2017-06-24 00:42:57
490,184,927,185,4200,2018-09-01 14:59:47
491,185,1009,217,2400,2019-02-08 18:11:32
492,26,36,373,2800,2019-01-19 20:46:30
493,172,98,370,1700,2018-06-09 05:04:45
494,90,162,46,2900,2018-01-17 14:23:44
495,159,273,7,4600,2017-07-13 20:31:14
496,58,1494,370,1400,2019-01-17 17:32:19
497,1,766,159,3800,2018-08-12 01:47:30
498,110,1386,299,3700,2019-01-31 05:16:11
499,25,627,163,1000,2019-02-22 17:18:33
500,72,348,375,1400,2018-04-06 03:50:49
501,138,171,181,600,2017-12-24 05:25:09
502,114,1453,348,2300,2017-09-26 12:19:00
503,66,1364,98,3300,2019-01-08 17:36:15
504,142,7,85,1700,2017-12-04 21:20:27
505,113,729,394,2500,2018-06-27 07:16:36
506,188,3,135,500,2017-05-30 03:18:42
507,56,1365,204,1100,2019-01-18 08:31:10
508,85,812,335,2200,2018-04-25 21:14:57
509,197,1225,190,4000,2018-04-15 12:59:45
510,184,410,129,1600,2018-10-31 23:55:38
511,102,1094,76,4100,2017-12-31 00:16:06
512,35,195,86,3900,2017-11-25 23:58:47
513,166,1182,15,5000,2017-09-19 11:03:18
514,100,149,346,3400,2017-11-14 04:56:23
515,90,1270,310,4300,2018-03-09 09:54:30
516,45,552,74,4500,2017-07-20 18:20:23
517,72,1484,112,5000,2018-05-28 15:59:50
518,84,240,59,1900,2017-04-11 23:28:59
519,41,1223,56,2000,2018-06-12 12:51:27
520,39,1482,233,3500,2017-06-09 23:01:55
521,197,918,12,4500,2018-06-21 07:18:26
522,183,938,295,3300,2017-10-25 12:49:09
523,73,552,28,200,2018-01-19 23:04:47
524,64,916,93,3300,2017-05-02 07:23:53
525,193,101,92,1200,2017-05-16 05:16:30
526,136,1206,15,100,2017-11-04 16:38:41
527,160,403,348,3400,2018-03-18 22:35:53
528,30,1406,51,500,2018-02-06 20:35:52
529,47,1338,245,4500,2017-04-24 00:20:10
530,55,28,268,3000,2018-09-07 23:35:44
531,143,140,329,2400,2018-07-04 02:12:39
532,105,956,356,2700,2019-02-26 14:56:03
533,29,315,218,4400,2019-02-20 17:12:41
534,82,655,142,2500,2018-01-12 06:28:03
535,188,1458,73,4600,2018-07-30 11:24:22
536,66,1472,323,4800,2018-04-15 12:39:06
537,82,264,268,2100,2018-08-04 12:22:14
538,20,694,116,4000,2017-08-14 09:03:01
539,150,698,362,4800,2017-04-13 02:09:54
540,31,358,78,4400,2017-10-25 14:29:59
541,105,1207,4,4000,2017-05-23 15:22:24
542,129,842,278,4500,2018-07-10 11:39:42
543,123,1200,269,4100,2017-07-19 08:38:18
544,170,451,37,4900,2017-11-11 19:04:07
545,114,53,195,800,2018-06-03 17:22:12
546,36,1132,17,4900,2018-07-23 23:40:21
547,49,1498,31,400,2019-01-06 17:58:22
548,181,573,226,4700,2018-06-13 16:54:49
549,188,763,44,2100,2018-10-28 17:33:07
550,31,1189,278,4200,2018-02-19 18:28:07
551,153,35,373,3000,2019-01-06 07:56:46
552,114,1343,338,3900,2017-04-12 00:17:26
553,109,48,242,3600,2019-02-26 06:08:37
554,73,1301,8,3900,2017-12-03 03:33:15
555,179,1063,213,2500,2018-09-29 23:47:01
556,4,793,17,1000,2017-08-07 07:03:52
557,134,1158,343,4200,2018-03-31 05:21:52
558,83,1027,120,3100,2019-03-23 06:20:02
559,79,71,346,3900,2018-12-14 21:36:08
560,188,1222,173,2400,2018-04-02 00:22:50
561,1,1136,175,3300,2018-10-31 04:38:38
562,29,334,206,1600,2017-07-01 18:04:09
563,168,36,396,2200,2018-07-27 10:39:57
564,75,1379,318,4000,2017-11-10 11:16:20
565,162,850,41,4200,2018-07-07 09:11:47
566,17,1373,270,3600,2018-12-26 04:11:13
567,183,1057,203,400,2018-11-03 00:02:19
568,166,41,48,500,2017-12-15 08:47:43
569,121,1300,287,1900,2017-06-01 12:58:27
570,122,643,329,700,2017-10-01 17:07:55
571,98,466,318,1700,2017-08-21 20:25:13
572,31,593,239,700,2019-02-03 23:09:10
573,154,610,75,1000,2017-05-26 20:11:57
574,105,1387,340,2600,2017-12-21 10:06:43
575,44,1025,397,700,2018-10-13 13:38:22
576,176,784,240,3900,2018-01-16 21:18:55
